"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"32",-1.15e-307,-1.12e-307,-1.12e-307,-1.15e-307,-1.12e-307,-1.12e-307,-1.15e-307,-1.15e-307,-1.12e-307,-1.15e-307,-1.15e-307,-1.12e-307
"33",-3.12e-307,-3.03e-307,-3.04e-307,-3.11e-307,-3.03e-307,-3.04e-307,-3.11e-307,-3.12e-307,-3.04e-307,-3.11e-307,-3.12e-307,-3.03e-307
"34",-8.52e-307,-8.31e-307,-8.3e-307,-8.53e-307,-8.31e-307,-8.3e-307,-8.53e-307,-8.52e-307,-8.3e-307,-8.53e-307,-8.52e-307,-8.31e-307
"35",-2.31e-306,-2.23e-306,-2.24e-306,-2.3e-306,-2.23e-306,-2.24e-306,-2.3e-306,-2.31e-306,-2.24e-306,-2.3e-306,-2.31e-306,-2.23e-306
"36",-6.27e-306,-6.09e-306,-6.09e-306,-6.26e-306,-6.09e-306,-6.09e-306,-6.26e-306,-6.27e-306,-6.09e-306,-6.26e-306,-6.27e-306,-6.09e-306
"37",-1.71e-305,-1.67e-305,-1.67e-305,-1.72e-305,-1.67e-305,-1.67e-305,-1.72e-305,-1.71e-305,-1.67e-305,-1.72e-305,-1.71e-305,-1.67e-305
"38",-4.64e-305,-4.52e-305,-4.51e-305,-4.64e-305,-4.52e-305,-4.51e-305,-4.64e-305,-4.64e-305,-4.51e-305,-4.64e-305,-4.64e-305,-4.52e-305
"39",-1.25e-304,-1.23e-304,-1.23e-304,-1.26e-304,-1.23e-304,-1.23e-304,-1.26e-304,-1.25e-304,-1.23e-304,-1.26e-304,-1.25e-304,-1.23e-304
"40",-3.44e-304,-3.35e-304,-3.37e-304,-3.45e-304,-3.35e-304,-3.37e-304,-3.45e-304,-3.44e-304,-3.37e-304,-3.45e-304,-3.44e-304,-3.35e-304
"41",-9.31e-304,-9.06e-304,-9.09e-304,-9.31e-304,-9.06e-304,-9.09e-304,-9.31e-304,-9.31e-304,-9.09e-304,-9.31e-304,-9.31e-304,-9.06e-304
"42",-2.53e-303,-2.48e-303,-2.46e-303,-2.53e-303,-2.48e-303,-2.46e-303,-2.53e-303,-2.53e-303,-2.46e-303,-2.53e-303,-2.53e-303,-2.48e-303
"43",-6.92e-303,-6.77e-303,-6.74e-303,-6.92e-303,-6.77e-303,-6.74e-303,-6.92e-303,-6.92e-303,-6.74e-303,-6.92e-303,-6.92e-303,-6.77e-303
"44",-1.87e-302,-1.83e-302,-1.82e-302,-1.87e-302,-1.83e-302,-1.82e-302,-1.87e-302,-1.87e-302,-1.82e-302,-1.87e-302,-1.87e-302,-1.83e-302
"45",-5.09e-302,-4.99e-302,-4.96e-302,-5.09e-302,-4.99e-302,-4.96e-302,-5.09e-302,-5.09e-302,-4.96e-302,-5.09e-302,-5.09e-302,-4.99e-302
"46",-1.39e-301,-1.36e-301,-1.35e-301,-1.39e-301,-1.36e-301,-1.35e-301,-1.39e-301,-1.39e-301,-1.35e-301,-1.39e-301,-1.39e-301,-1.36e-301
"47",-3.74e-301,-3.66e-301,-3.66e-301,-3.76e-301,-3.66e-301,-3.66e-301,-3.76e-301,-3.74e-301,-3.66e-301,-3.76e-301,-3.74e-301,-3.66e-301
"48",-1.02e-300,-9.95e-301,-9.93e-301,-1.02e-300,-9.95e-301,-9.93e-301,-1.02e-300,-1.02e-300,-9.93e-301,-1.02e-300,-1.02e-300,-9.95e-301
"49",-2.78e-300,-2.72e-300,-2.72e-300,-2.78e-300,-2.72e-300,-2.72e-300,-2.78e-300,-2.78e-300,-2.72e-300,-2.78e-300,-2.78e-300,-2.72e-300
"50",-7.52e-300,-7.36e-300,-7.34e-300,-7.56e-300,-7.36e-300,-7.34e-300,-7.56e-300,-7.52e-300,-7.34e-300,-7.56e-300,-7.52e-300,-7.36e-300
"51",-2.04e-299,-1.99e-299,-1.99e-299,-2.05e-299,-1.99e-299,-1.99e-299,-2.05e-299,-2.04e-299,-1.99e-299,-2.05e-299,-2.04e-299,-1.99e-299
"52",-5.58e-299,-5.45e-299,-5.44e-299,-5.61e-299,-5.45e-299,-5.44e-299,-5.61e-299,-5.58e-299,-5.44e-299,-5.61e-299,-5.58e-299,-5.45e-299
"53",-1.51e-298,-1.47e-298,-1.47e-298,-1.52e-298,-1.47e-298,-1.47e-298,-1.52e-298,-1.51e-298,-1.47e-298,-1.52e-298,-1.51e-298,-1.47e-298
"54",-4.12e-298,-4e-298,-4.01e-298,-4.11e-298,-4e-298,-4.01e-298,-4.11e-298,-4.12e-298,-4.01e-298,-4.11e-298,-4.12e-298,-4e-298
"55",-1.12e-297,-1.09e-297,-1.1e-297,-1.13e-297,-1.09e-297,-1.1e-297,-1.13e-297,-1.12e-297,-1.1e-297,-1.13e-297,-1.12e-297,-1.09e-297
"56",-3.04e-297,-2.97e-297,-2.98e-297,-3.05e-297,-2.97e-297,-2.98e-297,-3.05e-297,-3.04e-297,-2.98e-297,-3.05e-297,-3.04e-297,-2.97e-297
"57",-8.27e-297,-8.08e-297,-8.08e-297,-8.32e-297,-8.08e-297,-8.08e-297,-8.32e-297,-8.27e-297,-8.08e-297,-8.32e-297,-8.27e-297,-8.08e-297
